HiggsM,DNN_score,DPhi_jj,OO1
132041.16,0.2336318,2.3544476,0.5549127
122063.53,-2.6575806,0.5581671,-0.14293179
127865.22,-0.26476812,0.9853749,0.228504
126289.97,-2.7765756,1.7427018,-0.11339533
116596.71,-1.9715989,2.8359132,-0.69531184
118739.15,-2.9715545,2.1215487,-0.019917822
128456.06,0.99698234,1.1355684,0.17805074
118941.805,0.8585953,1.7246301,-0.23809217
127285.27,-3.625973,2.4005456,-0.10269151
126563.64,0.00017701012,1.3988957,-0.17414877
128063.61,-2.7093542,1.3741314,0.30873036
116900.9,-2.68981,3.0073652,-0.010594946
131287.45,-3.1655185,3.0235822,-0.1981074
134048.2,2.8335264,1.4695112,-0.39460054
118169.68,-1.8484079,2.3107781,0.51714927
115750.5,-1.0408635,1.8718396,0.20696083
122126.39,-1.6553477,2.819022,-0.042038668
130580.74,-0.19149975,2.1300607,0.11662673
128482.01,-3.2878344,2.8116307,0.12624452
134154.69,-1.1341873,2.2859132,0.011268242
115520.125,-3.061239,2.882252,-0.13580097
115011.14,0.6084602,0.047571957,0.0273994
118042.58,-2.841265,3.0757213,0.05247664
117713.53,-3.4532826,2.9482708,0.1271171
131665.56,-3.1573505,3.0852087,0.23898928
122506.02,-2.0156474,2.1320477,-0.07454224
129092.3,-2.9709804,2.5378373,-0.0932227
120837.445,-0.7618917,2.5023253,0.042711556
124892.0,-1.6471455,2.150654,0.1663215
115635.07,2.812212,1.0596838,-0.48874727
126671.57,-2.8660061,3.0889308,0.6408295
129485.86,-2.5043316,2.5347843,0.1636903
130685.26,-2.8915486,2.7807152,0.18091764
125968.2,-0.1004875,2.6714559,-0.073260166
120426.4,-2.522224,1.9627215,0.33788562
123399.02,2.1252306,3.0829506,-0.07766539
121914.95,-3.6378748,2.8854103,-0.007768637
116273.305,-3.1722882,3.0777264,0.2922177
131367.66,-2.7802327,3.0411036,-0.059752095
118084.48,-3.7362235,1.0787035,0.06610992
128036.58,-2.8525195,0.10314751,0.000727162
130927.06,-2.4768965,1.9580729,-0.029525157
131063.83,3.8523226,1.2853608,0.37687144
123489.96,-3.9296126,0.6649804,0.1352068
119535.25,-2.2170272,3.0412488,-0.072183736
126013.94,-0.12868263,2.4269307,0.3297616
116366.664,1.5245917,1.5881228,0.15619926
130496.875,-1.1630343,2.729751,0.12755126
130899.29,1.9556053,2.6622698,-0.118775405
123362.55,-1.3966597,2.2513316,-0.2539036
128144.5,-1.5061799,1.0620226,1.0304655
120214.26,0.18629271,2.5414684,0.17654525
119796.74,-1.1457415,2.877599,-0.03057104
120829.1,-1.6192224,0.5980743,0.064039476
132986.55,-0.47297168,3.0785744,0.13829267
131405.34,-3.5967247,0.31393242,-0.07541626
123532.94,-1.9439393,2.9142504,-0.04463698
118676.84,-1.1115754,2.2644582,0.41827908
127779.42,-1.6314477,0.52477086,-0.1406865
116897.07,-3.1223512,0.2911446,-0.061273392
130221.1,-1.7693126,1.4346797,-0.20285492
128073.09,-1.7354639,1.3107992,-0.08696989
126799.19,-3.8210394,2.4638803,0.0050961035
122002.46,2.2708738,1.2636669,0.55007863
117573.766,-2.8501458,2.4742954,0.058510393
123643.51,-0.53042394,0.14854908,-0.010811789
119144.414,-4.002673,2.9740481,-0.016560884
122848.67,-3.1514537,2.3377876,0.285921
130053.35,-2.2555792,3.1033084,0.12054736
125369.195,0.02172074,0.07484436,-0.011611587
129871.52,-0.15046233,2.5320218,-2.3208232
116954.875,-0.53407323,1.4455024,0.08852064
132369.7,-2.8094728,2.6180623,-0.2733456
116851.73,-1.2686934,1.6579772,-2.8640637
134534.05,-0.8653218,2.2875142,0.056009933
116941.0,-1.786268,2.752334,0.57134175
118703.63,-2.493323,1.9900203,0.5731988
124081.49,-1.6082509,0.311815,0.13911958
129127.55,-3.1459424,1.0701632,0.075843126
127565.125,-1.6516625,2.5179913,-0.41929722
118497.99,-1.5756435,1.1567682,-0.3564474
121174.17,-3.2017553,2.1589692,-0.38053402
121805.52,1.0059831,3.0567281,0.0573266
122194.3,-0.43270683,3.0796657,0.1899137
123011.45,-0.5175673,0.2833804,-0.01357345
129625.01,-1.4960572,2.639114,0.005804312
129917.62,-1.3714998,1.4137368,-0.085779935
128428.016,-1.1235818,2.5910738,-0.009723512
122101.51,1.8894744,0.16192317,-0.031628102
134306.17,-1.9634562,2.82837,-0.1350383
115309.26,-1.2450157,3.0062766,0.053046662
116132.64,-2.973519,2.7011912,-0.5572433
116830.78,-3.0175533,0.43474793,-0.25457996
117195.73,0.25609097,1.991647,-0.52050686
118122.9,-0.17420995,1.3817059,0.121733055
122514.47,4.8485036,1.8243839,-0.22105241
116103.625,0.49493587,0.15427983,0.018583715
118239.92,-0.28023103,1.8678854,1.2817916
118920.69,-1.257698,3.121685,0.332432
131570.5,-0.83098626,1.746529,0.09558103
132322.4,-1.8182023,2.8979383,0.04711117
128708.9,-3.1335173,2.2647815,0.05418957
127433.984,-1.1926318,2.4864993,-0.1501243
125173.83,-3.977229,2.6623676,0.111904755
131131.4,-3.3092284,1.1391032,0.2587973
119276.414,-0.45052823,2.0901446,-0.8272841
125506.61,-1.1888663,2.6978815,-0.17273405
128148.19,-0.95894027,2.4570436,0.05685301
129648.805,1.7673615,0.15353549,-0.064761095
127548.875,-3.719593,1.5435928,-0.19875716
128326.52,-2.3293428,2.4644566,-0.11445659
121149.48,-3.801574,1.3699412,0.011326967
134308.97,1.0577505,1.2795099,0.28075045
130248.65,0.15926531,1.2311049,-0.41646898
118579.28,-2.3913019,0.47976422,0.025491526
127298.38,-1.1955404,3.084145,0.007632363
127922.22,-3.7288966,1.130683,0.059213646
119268.36,-2.2220297,2.0074587,-0.05955437
131365.34,-3.4132574,1.1761707,0.1645369
134819.34,-2.9057477,2.0477228,0.36471388
125754.89,-1.5615196,1.4989215,0.2068501
128750.19,-1.712281,1.4253659,-1.0099645
115695.72,-3.8427424,2.8885741,-0.009021552
127971.75,-2.2193573,1.7622315,-0.25306144
119016.4,-3.9592993,2.5882537,-0.44814467
117113.08,-2.08207,3.138423,0.017857112
119166.49,-3.0128036,1.5971478,0.013503182
132745.86,-4.270779,0.75988835,0.06892121
122622.82,-1.3726629,2.6417892,-0.03924549
117728.28,1.7132652,2.5343747,0.043563668
118811.0,-2.255167,2.3800156,-0.21138816
121362.2,-3.555785,2.762873,0.43243274
122115.59,-2.5042534,1.8468878,0.07997842
118405.46,-3.0574849,3.126138,0.030687243
125019.41,-2.6801074,1.0255735,-0.057711016
133919.56,-0.9505189,2.4003973,0.13035202
134971.86,-2.7382653,2.5125852,0.28619614
118387.26,0.97059447,1.7267907,0.30304575
115965.12,-2.2711134,1.8874611,0.444121
127580.64,-1.8299701,2.7092001,0.065120295
115443.32,-3.5267951,2.9639428,-0.06547191
126941.78,-2.212398,2.976341,0.030631281
125870.445,-3.0326414,2.626216,-0.04522217
122164.516,-2.6815932,1.339501,0.18380947
132622.69,-0.6717497,0.24543059,0.028591389
117559.664,-2.6385548,2.898439,-0.07268044
116618.125,-0.5699057,1.6657044,-0.3435554
122598.07,-3.8423846,3.032076,-0.39681247
127178.49,-2.2343671,0.16260207,-0.04025636
125265.44,-1.5827584,3.0423157,0.015065674
134500.52,-0.4703845,3.0258164,0.051746387
117769.766,-2.698269,1.9206265,0.22223584
126241.8,-0.41605118,2.7795076,0.027007176
125281.23,-1.9374269,1.3313107,0.14604343
125738.92,-2.289806,0.1379435,0.025805587
128076.36,-3.226107,2.5993786,0.79915047
119365.805,-0.7366575,1.8645039,-0.23324333
121341.8,-0.8137567,2.2183118,-0.27310535
129094.77,-3.7588274,2.895787,0.09042897
115843.37,-3.0372488,1.6559786,0.107270114
131534.77,-3.8688924,0.78831553,-0.06209861
118092.97,-2.5811045,2.7260456,-0.43354872
122597.266,-4.201251,1.4844446,0.0061262534
124498.0,-3.1279166,0.6107961,-0.07626243
