HiggsM,DNN_score,DPhi_jj,OO1
133427.42,-2.867612,2.3459282,0.2809956
117527.87,-3.5312018,0.188469,0.041113626
119701.86,-2.3778539,3.1113377,-0.006093069
131277.05,0.63897866,3.101654,-0.0779471
133876.58,-0.42419073,1.212432,0.0960165
117667.7,-2.6164446,2.3536506,1.2952576
126888.62,1.1106415,0.9191494,-0.07453987
127426.836,-0.23622137,1.4850376,-0.09534866
115724.25,1.9494216,1.313199,0.2370535
119583.05,-1.75815,2.695278,0.054313358
125962.555,-1.4592273,2.8345191,0.10501929
121107.96,0.6566985,0.36663723,0.098164946
118171.56,-1.9049888,2.7533503,0.38656682
125144.62,1.4895228,1.9852054,-1.3737928
129380.39,-0.58817434,2.1563482,1.0434353
127748.97,-2.6621768,1.9644309,-0.064718895
121346.08,0.20564981,1.7073598,-0.08262499
129470.35,-3.1454163,0.16389537,-0.10544095
121884.05,-2.5443153,2.3997176,0.08114369
121455.08,-4.146796,2.961593,0.013077821
125907.25,2.690643,0.27898872,-0.03155193
121934.336,-1.5892321,2.949415,0.39813638
132200.39,-2.3256958,1.315257,0.03530506
125088.95,-0.25831792,0.14927012,-0.055132747
116759.945,1.6703321,1.4193424,0.10223881
117288.59,-1.5481735,3.0406392,-0.106074296
123354.555,1.5698048,1.4890025,0.22781064
126868.14,-1.4110751,2.0930486,-0.21308471
122471.55,-2.676808,0.09201503,-0.07595789
124168.13,-2.6282341,3.0194588,0.0786379
133300.38,0.46853712,0.8390548,-0.47451434
121255.914,-1.4361897,0.5311694,0.06467728
128367.54,-2.8228009,2.8573954,-0.07993634
128849.945,-2.2047818,1.1653843,-0.25065118
129366.73,-0.96374136,1.1846495,0.12069876
118998.43,-0.22766836,3.1084511,0.21359017
120520.36,-2.7261715,2.4398606,0.10332212
115769.16,-2.4137244,1.802741,0.45494103
123035.74,-1.9034321,1.2314217,-0.07082745
117389.87,-1.6100996,3.1402838,-0.016103456
133434.61,-0.057002127,1.8409649,0.10190735
116456.734,-0.46932045,2.7375183,-0.21822806
133669.83,-1.3733754,2.7482593,-0.0049859746
132026.36,-4.0406823,1.4492519,-0.16966416
131304.8,-1.7659197,0.5878666,-0.19228914
133383.52,-2.096816,2.5757165,0.0048972103
119552.45,-1.645525,2.8702703,-0.059256062
134593.62,-3.3483217,3.062863,-0.9614097
130887.055,-2.9184196,1.7395421,-0.06121938
123225.26,-1.2588434,1.8160045,-0.3037918
123053.836,-0.7089401,2.5803177,0.9700685
119944.8,0.70074326,2.7733555,-0.14464445
116473.5,2.1658657,0.69547856,0.22250697
120709.07,0.32086024,1.4103332,-0.0908534
131105.67,-1.5195043,3.101386,-0.21886085
116432.27,-2.8956602,1.8596551,0.18321387
128886.11,-0.09239505,3.0220618,0.010265008
117515.49,-1.7273002,2.974094,0.01951315
122995.54,1.3733485,0.68115,-0.22211945
119407.07,-2.4112988,1.7545793,-0.046995893
118841.67,5.4217486,0.5302302,-0.09869229
125677.24,0.26559773,0.5237398,-0.08094896
118918.46,2.0026846,1.1655707,-0.17470632
119409.375,-1.2464035,3.07018,0.03023214
130492.43,-1.9845431,0.059280157,-0.28448835
134739.5,-2.2390003,0.024563551,-0.10686959
122662.586,-3.490529,1.988914,-0.12992792
132409.72,-0.874276,1.6279923,0.22977574
124464.02,-2.0297594,1.230553,0.11309683
121403.4,-1.224087,2.9583693,0.0137119
130221.03,-2.0866535,2.8667393,-0.031467352
132678.23,-2.5121906,0.5422735,-0.09901453
123480.36,-0.23105621,3.1320825,-0.01055854
134659.28,-2.0185812,2.2641077,0.00069630245
115984.85,-1.3529365,0.18141627,-0.014422899
119927.61,1.1624769,3.0029485,-0.044486478
133400.27,-3.1730344,3.0611804,0.00097571424
121555.24,-1.6671976,3.0975282,0.00980268
133503.12,-2.4247484,2.3101056,-0.060779113
124019.47,-3.2374518,2.8284302,-0.62400186
120054.305,-1.8821623,2.989655,2.463689
119950.625,-3.8343806,2.2006729,-0.095922425
128403.28,-2.0216124,2.6731446,0.021293795
124970.32,-0.8646456,2.4767697,-0.41361317
122377.65,-3.2066352,2.4449012,0.2502704
127663.84,-1.5653654,1.3107759,-0.3317232
118841.39,-2.2320895,2.610728,-0.12116248
122140.5,-3.9558988,2.8681414,0.1414575
118198.06,-0.40018713,0.81349975,-0.07126375
117940.32,-3.5391324,2.8303554,0.014366352
134082.92,0.99791807,2.637736,1.0596467
121099.59,-3.2355962,2.3346424,-0.60108423
132634.11,-0.55153084,2.7246158,0.24847996
131788.4,0.1868789,1.398616,-0.29874665
127473.39,-2.6061754,2.3254387,-1.5931544
124315.414,-2.6245747,2.2921407,0.46971887
124493.26,-2.7915878,2.8272398,0.17362095
118681.09,-2.297065,2.0141943,-0.36175835
119523.59,-1.7968674,2.9404855,0.0568884
133303.45,-0.7738408,2.8132973,0.09265129
115620.39,-1.342187,2.968346,0.1595949
119581.26,-2.7130225,0.38728547,0.11896075
131926.12,-2.2806768,3.0646653,-0.16870232
127219.22,-1.4045722,2.3841891,0.026715836
129537.62,-0.7039544,1.0758421,1.7922198
117071.09,0.8082352,1.8985453,-0.4006171
129950.69,1.3402413,0.021624565,-0.019449469
118454.77,0.01266237,2.6615968,-0.14126064
116581.836,-0.49041936,2.366726,-1.5802947
123346.484,-2.3445876,2.7361171,-0.50524867
118207.54,-0.86610776,0.3968203,0.35333398
119683.664,0.44590738,2.0033712,1.040372
117265.92,-3.745807,3.096315,-0.117512435
131562.02,2.1427124,2.1897323,0.41992256
116435.48,-2.1069524,3.0853605,-0.039716374
129228.016,-0.2582284,2.8568454,0.6606938
133998.31,0.8018118,0.7240597,0.072383694
128776.73,-1.5299525,3.0731974,0.112868324
132089.22,-1.6307749,2.4073448,-0.24586734
134734.7,-2.1324255,2.3751063,0.116937496
118577.19,-3.2883077,1.0558847,-0.19055818
132267.88,-2.4958751,1.2500546,-0.25528952
118874.74,-1.3632429,2.3428702,0.16018176
131706.69,-1.8049618,2.5097277,-0.22068317
115465.445,-1.956435,1.4053707,-0.3118288
118923.1,-3.2689855,2.0839515,0.42387173
118602.79,-0.64354384,1.2879796,-0.112842165
119661.15,-0.95711017,2.9998713,-0.03854474
132047.83,-1.7835085,1.8467957,-0.012718688
120203.56,-1.8840481,3.0007002,0.008370371
122827.73,-2.5045142,2.8702188,0.03272533
131521.6,-3.2177107,2.8907979,0.051768694
116029.65,-1.5666884,3.014118,-0.061346833
116648.69,-2.9713404,2.5318675,-0.39129332
129543.25,-2.9348593,2.9742315,-0.2840792
116022.93,-2.935456,2.55647,-0.32230225
132777.14,-2.300768,1.6097493,-0.051428277
117687.32,-2.2856903,2.1861005,0.29606923
134112.77,-2.3824866,1.1420373,-0.21537195
127009.93,0.6432723,2.1384065,-0.11395782
118270.336,-3.9043627,2.975599,0.46887705
129540.086,0.46415365,2.8060496,0.050579224
127097.57,-3.5151803,2.5510743,0.2083407
125248.516,-0.95897514,2.7876968,-0.27603978
128115.34,-2.940071,1.4256991,-0.06282734
116813.336,-2.102504,2.3105328,0.016956659
128593.32,-2.8632975,1.9203604,0.3208889
115257.58,1.4463075,0.7239826,-0.13111237
123283.18,-1.608017,2.7840528,-0.0072768847
127299.484,0.98809147,3.1228023,0.07261705
134594.62,-0.7681382,2.5641117,0.35657492
126233.59,-2.9870484,0.6562276,0.08435512
117321.82,-3.6250367,2.5550632,0.02018116
129925.36,3.213094,0.28750598,-0.11486682
117791.02,-2.5092547,2.8050377,-0.11378313
129738.72,3.4569528,0.18945265,-0.40503177
116265.37,-3.4698434,2.233988,-0.46556833
128775.03,-2.0574157,0.5159362,0.612657
119348.125,-2.2829208,2.9828353,0.17181684
127591.09,2.320659,2.937283,-0.042614862
126226.62,-3.1908667,2.8773825,-0.012463886
117007.89,-1.673542,2.7804096,0.4721497
120027.125,-2.0933068,3.0375915,0.030300934
120550.77,-1.5092396,2.917699,0.49652117
119245.92,-0.93257654,1.4634997,-0.14763388
131197.5,-2.4229286,3.1131725,-0.011522501
124685.95,-2.5117292,2.4139748,0.07878201
124720.055,-1.5564657,2.8814707,-0.022931121
116130.016,-2.620225,2.715601,-0.16481094
131142.77,-1.5653657,0.23411658,-0.5550885
122815.414,-2.5696545,1.5847876,-0.27529752
123216.47,-3.1288445,0.80328816,0.017145395
129320.95,-1.3310211,1.8244398,0.09812904
133503.86,-2.190253,1.4111862,0.5490961
121312.36,-0.98541296,2.6283038,-0.41475224
117239.18,-2.1419582,2.4476473,-0.28849047
134777.28,-3.3348212,3.1269994,0.08419911
133077.4,1.2293197,2.3556573,0.16003977
117654.766,-2.0981874,0.018178403,-0.032668043
132577.1,-1.8531528,1.982135,-0.55665094
116080.16,-2.3001735,2.996833,-0.4737246
120975.96,0.4495131,2.9860253,-0.17183079
126377.22,2.4106302,2.9505877,0.044325408
121102.625,1.600345,3.1205423,0.088283636
119468.445,-3.164089,2.101676,0.25089654
129560.34,-3.9668937,0.39566362,0.093829185
125496.2,-1.6265558,0.5832971,-0.035908516
116288.445,-2.2630687,2.7048812,-0.47862303
