HiggsM,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1
129913.01,1.9935627,3.1372259,4.1886883,1.1580095e+06,2,-0.23644169
115649.2,-2.7373056,3.0963829,3.517241,209198.27,2,0.03129306
126046.5,-0.7204777,0.09221873,2.5367973,208342.97,2,0.078525856
129392.625,-2.268546,1.08462,2.8328493,140613.05,2,-0.19512661
115556.164,-0.90396565,1.4703509,5.3057766,743555.2,5,-0.1533577
115569.375,-1.4628992,0.1014595,3.2544508,228642.16,3,-0.014573322
129371.1,-2.3694735,0.7212325,4.7112827,573778.6,2,-0.23084944
117919.64,-1.7627035,2.165069,3.1455498,320670.84,3,0.21427067
123396.945,-1.7177922,1.8263723,6.179269,909865.2,3,0.0035704467
125362.43,-3.1569254,0.8853061,3.8295798,258490.11,3,-0.3442181
122776.38,0.39698198,2.393103,2.0872054,500261.3,2,1.2763339
119179.52,-0.2859813,2.2702327,2.866948,266883.8,2,0.1002203
116565.66,-2.5634599,0.32170773,6.2541714,1.1024974e+06,3,0.003346993
127809.164,2.7531145,2.9657917,6.873749,1.8534198e+06,3,0.04638924
116276.766,1.5739739,1.8400652,6.1973333,1.0316849e+06,5,0.076136775
129979.484,-1.1951236,1.744065,3.3080652,205882.89,4,-0.16084954
133301.55,-2.5441432,1.2906512,4.0623727,274016.88,2,0.08071727
133376.95,-1.3828094,3.0049038,2.5499215,205987.67,2,-0.056648836
127226.2,0.5464427,2.2987149,6.9514885,1.1968088e+06,2,-0.06695139
124364.12,-1.3660705,2.2763252,2.097808,141688.28,3,0.20654173
129825.54,-3.6428611,1.19253,3.6151445,430275.97,4,-0.14042856
134653.31,2.087974,2.0617778,3.9752164,1.7443006e+06,3,2.7197616
123851.6,-2.7350352,2.8577192,4.4383855,508282.47,3,0.1410051
123534.11,-2.9307837,0.7413528,2.1657615,104464.91,2,0.19334641
121212.74,-2.5711944,1.4699719,2.15253,260772.8,5,-0.9542863
