,HiggsM,Frequency,DNN_score,DPhi_jj,Eta_jj,M_jj,Njets,OO1,Zepp,finalWeight,is_Passed_yy,lumiXsecWeight
66,108325.0,20401,-1.4773964,2.02855,3.5663238,449346.72,3.3606685946767314,-0.0036539964,-0.007435641,0.00575944,1.0,1.2210848e-09
67,108375.0,20643,-1.489455,2.0277815,3.567387,449985.62,3.3127452405173665,0.0018075892,0.005829417,0.0058847032,1.0,1.2210912e-09
68,108425.0,20623,-1.4692609,2.0326178,3.5837233,455983.22,3.3329292537458177,-0.0021803507,0.008639321,0.0057159546,1.0,1.2222083e-09
69,108475.0,20262,-1.4746634,2.024427,3.579385,453459.66,3.3473990721547726,-0.0037442886,-0.025863944,0.005810758,1.0,1.2212152e-09
70,108525.0,20540,-1.4829203,2.0316,3.5716562,451979.4,3.343330087633885,0.0022519408,-0.012866963,0.0058256094,1.0,1.2208524e-09
71,108575.0,20591,-1.4758514,2.0334074,3.582297,455751.62,3.3367490651255403,0.0035745846,0.018118806,0.0059353486,1.0,1.2211172e-09
72,108625.0,20157,-1.4958487,2.0366719,3.5722594,449126.25,3.351341965570273,0.002856253,-0.023694925,0.0057459148,1.0,1.2216833e-09
73,108675.0,20211,-1.4710951,2.0349748,3.5775375,453087.7,3.333580723368463,0.004603058,-0.016286794,0.0057547167,1.0,1.2204352e-09
74,108725.0,20522,-1.4873027,2.0287452,3.5746706,450700.88,3.342607932950005,0.0029421663,-0.0033534972,0.0057490687,1.0,1.2211628e-09
75,108775.0,20365,-1.4795308,2.0321414,3.5850334,455148.0,3.3463785907193713,0.0039603733,-0.0077004097,0.0058428384,1.0,1.2218518e-09
76,108825.0,20371,-1.5118488,2.0395396,3.5722716,451235.0,3.3199155662461344,0.00050691946,-0.008267306,0.005680762,1.0,1.2213616e-09
77,108875.0,20098,-1.4997605,2.022588,3.5845373,455302.25,3.3569011841974326,0.003485824,0.020140892,0.0059038033,1.0,1.2219672e-09
78,108925.0,20217,-1.4750509,2.0338855,3.5797067,454938.28,3.3359548894494733,0.00042479727,-0.002979293,0.005768615,1.0,1.2217747e-09
79,108975.0,19932,-1.5029988,2.0465727,3.5645378,450363.38,3.335691350592013,0.0005736069,-0.018497137,0.0057775658,1.0,1.2211533e-09
80,109025.0,20162,-1.5025402,2.0263991,3.5928383,455298.72,3.3576530106140265,5.8151843e-05,-0.012931135,0.005689532,1.0,1.2211306e-09
81,109075.0,20315,-1.4807547,2.0369077,3.5754683,453447.8,3.3490031996062024,-0.0008181459,-0.013340879,0.0057712626,1.0,1.2216631e-09
82,109125.0,20256,-1.4744415,2.0344987,3.581039,458534.72,3.3474032385466033,-0.002199118,-0.024742635,0.0058433902,1.0,1.2206031e-09
83,109175.0,20161,-1.4889792,2.0391884,3.5862207,458000.6,3.346361787609742,0.0011432618,0.0036031867,0.0057563353,1.0,1.2219394e-09
84,109225.0,20249,-1.4847077,2.04011,3.578208,455037.06,3.3310780779297744,0.005697749,0.017037475,0.0058588022,1.0,1.2203848e-09
85,109275.0,20119,-1.5009096,2.0320344,3.5872815,455258.3,3.343108504398827,-0.007319436,-0.014066654,0.005761271,1.0,1.2211905e-09
86,109325.0,20288,-1.4705158,2.028219,3.5839088,452978.3,3.350059148264984,0.00024459243,-0.012022527,0.0057574385,1.0,1.2214079e-09
87,109375.0,19809,-1.4792457,2.0316565,3.5865788,456203.88,3.337270937452673,0.002634378,0.001533302,0.0057990276,1.0,1.2218189e-09
88,109425.0,19908,-1.4740313,2.0384195,3.5895216,458425.28,3.3294153104279687,0.0012538075,-0.014540186,0.0058124503,1.0,1.2210979e-09
89,109475.0,20075,-1.4909854,2.022147,3.574322,454178.9,3.3625404732254047,-0.0010124131,-0.02177766,0.005709421,1.0,1.2206823e-09
90,109525.0,19844,-1.4886076,2.035243,3.5738997,455648.88,3.32906672041927,0.010233027,-0.005671781,0.0056700944,1.0,1.2222053e-09
91,109575.0,19879,-1.4883436,2.0305824,3.5739164,455204.84,3.334674782433724,0.001285624,-0.025650147,0.0058166357,1.0,1.2208232e-09
92,109625.0,19791,-1.4938194,2.0253825,3.5772243,456316.78,3.340862007983427,0.003140642,-0.00079402165,0.005741061,1.0,1.2212883e-09
93,109675.0,19988,-1.4742942,2.0230038,3.5798445,449973.88,3.3360016009605764,-0.0022284596,-0.0144455675,0.0057566124,1.0,1.2211427e-09
94,109725.0,19774,-1.4952546,2.0322096,3.574493,456189.5,3.3588550622028928,0.0013972768,0.015531529,0.005776206,1.0,1.2213316e-09
95,109775.0,19617,-1.4816879,2.0283394,3.58624,455774.6,3.3179385227098943,0.00027693293,0.00645797,0.0057407552,1.0,1.2212812e-09
96,109825.0,19494,-1.4761719,2.0195925,3.5810442,455991.56,3.3528265107212474,-0.004389115,-0.02588506,0.0057055717,1.0,1.2214031e-09
